prompt,completion
1: lluvia\n2: monje\n3: penas\nResp:, Los dias de lluvia\nel monje Ryokan\nda penas END
1: Luna\n2: porton\n3: marejada\nResp:, Luna de agosto\nEn el porton irrumpe\nla marejada END
1: mendigo\n2: verano\n3: tierra\nResp:, Ah el mendigo\nEl verano lo viste\nde tierra y cielo END
1: Manana\n2: peregrinos\n3: despiden\nResp:, Manana fria\nVoces de peregrinos\nque se despiden END
1: mayo\n2: luna\n3: pinos\nResp:, Lluvias de mayo\ny de pronto la luna\nentre los pinos END
1: Corte\n2: clareo\n3: ventana\nResp:, Corte una rama\ny clareo mejor\npor la ventana END
1: Manana\n2: miro\n3: padre\nResp:, Manana de otono\nme miro en el espejo\ny veo a mi padre END
1: cruzo\n2: cruzo\n3: montanas\nResp:, Por mas que las cruzo\npor mas que las cruzo\nmontanas verdes END
1: Ladron\n2: bosillos\n3: setas\nResp:, Ladron cazado\ncon los bosillos llenos\nde setas frescas END
1: Anoche\n2: dormidos\n3: ruido\nResp:, Anoche cubri\nmis hijos dormidos\ny el ruido del mar END
1: primavera\n2: Absolutamente\n3: Absolutamente\nResp:, Esta primavera en mi cabana\nAbsolutamente nada\nAbsolutamente todo END
1: Primavera\n2: nada\n3: embargo\nResp:, Primavera en el hogar\nNo hay nada\ny sin embargo hay de todo END
1: sapo\n2: expeler\n3: nube\nResp:, Pareciera que el sapo\nva a expeler\nuna nube END
1: montana\n2: sueltan\n3: cielo\nResp:, Sobre la montana florida\nsueltan los caballos\nen el cielo otonal END
1: peces\n2: hirviera\n3: agua\nResp:, Mil peces blancos\ncomo si hirviera\nel color del agua END
1: Bajo\n2: sendero\n3: Desaparecio\nResp:, Bajo la lluvia de verano\nEl sendero\nDesaparecio END
1: cigarra\n2: canta\n3: canta\nResp:, Cuando canta la cigarra\ncuando canta\ncanta en coro END
1: aves\n2: primavera\n3: peces\nResp:, Las aves trister\nse va la primavera\nlos peces lloran END
1: sombrero\n2: sombra\n3: estoy\nResp:, Bajo un sombrero\ndisfruto la sombra\naun estoy vivo END
1: Luna\n2: tronco\n3: recien\nResp:, Luna de agosto\nredonda como un tronco\nrecien cortado END
1: mar\n2: gritos\n3: casi\nResp:, El mar en sombra\nlos gritos de los patos\nson casi blancos END
1: Lirio\n2: crece\n3: poema\nResp:, Lirio purpura\nte miro y crece en mi\neste poema END
1: Primeras\n2: prolonga\n3: verlas\nResp:, Primeras flores\nmi vida se prolonga\nsolo por verlas END
1: calma\n2: chirridos\n3: perforan\nResp:, Todo esta en calma\nchirridos de chicharras\nperforan rocas END
1: monjes\n2: amanecer\n3: flor\nResp:, Los monjes beben\nel te de amanecer\nflor de silencio END
1: cuco\n2: mundo\n3: poetas\nResp:, El cuco canta\nsiempre lejos del mundo\nde los poetas END
1: juntos\n2: nieve\n3: agotarnos\nResp:, Vayamos juntos\na contemplar la nieve\nhasta agotarnos END
1: relampago\n2: garza\n3: iluminada\nResp:, Un relampago\nel grito de la garza\niluminada END
1: admirable\n2: nadie\n3: nada\nResp:, Que admirable\nun relampago y nadie\ncomprende nada END
1: Cae\n2: comienza\n3: la\nResp:, Cae una hoja\ny comienza a volar\nla luciernada END
1: Este\n2: recorre\n3: el\nResp:, Este camino\nnadie lo recorre\nsalvo el crepusculo END
1: viento\n2: corazon\n3: salgo\nResp:, El viento helado\nentro en mi corazon\nsalgo de viaje END
1: suave\n2: risa\n3: es\nResp:, La suave brisa\nla risa de las flores\nes primavera END
1: ojos\n2: tanto\n3: cerezo\nResp:, Mis ojos brillan\nde tanto contemplarte\nflor de cerezo END
1: aves\n2: va\n3: peces\nResp:, Las aves tristes\nse va la primavera\nlos peces lloran END
1: Bajo\n2: su\n3: aun\nResp:, Bajo un sombrero\nsu fruto de la sobre\naun estoy vivo END
1: Pensar\n2: llamado\n3: bello\nResp:, Pensar que es falso\neso llamado cielo\npero que bello END
1: Cambian\n2: azaleas\n3: adoquines\nResp:, Cambian los tiempos\nrodean azaleas\nlos adoquines END
1: anera\n2: hueco\n3: dejo\nResp:, El mas anera\nel hueco que tu pie\ndejo en la playa END
1: rama\n2: quiebrase\n3: llega\nResp:, Seca una rama\nquiebrase entre mis manos\nllega el invierno END
1: anega\n2: hueco\n3: playa\nResp:, El mas anega\nel hueco que tu pie\ndejo en la playa END
1: Otono\n2: furor\n3: muerde\nResp:, Otono y arbol\ncon que furor el viento\nmuerde las hojas END
